timestamp,room,status
2025-07-03 19:30:44,1,Mobile Detected
2025-07-03 19:30:45,1,Mobile Detected
2025-07-03 19:30:46,1,Mobile Detected
2025-07-03 19:30:48,1,Mobile Detected
2025-07-03 19:30:49,1,Mobile Detected
2025-07-03 19:30:50,1,Mobile Detected
2025-07-03 19:30:51,1,Mobile Detected
2025-07-03 19:30:52,1,Mobile Detected
2025-07-03 19:30:53,1,Mobile Detected
2025-07-03 19:30:54,1,Mobile Detected
2025-07-03 19:30:55,1,Mobile Detected
2025-07-03 19:30:56,1,Mobile Detected
2025-07-03 19:30:57,1,Mobile Detected
2025-07-03 19:30:58,1,Mobile Detected
2025-07-03 19:30:59,1,Mobile Detected
2025-07-03 19:31:00,1,Mobile Detected
2025-07-03 19:31:01,1,Mobile Detected
2025-07-03 19:31:02,1,Mobile Detected
2025-07-03 19:31:03,1,Mobile Detected
2025-07-03 19:31:04,1,Mobile Detected
2025-07-03 19:31:05,1,Mobile Detected
2025-07-03 19:31:06,1,Mobile Detected
2025-07-03 19:31:07,1,Mobile Detected
